household_id,patta_holder_name,state,district,village,tribal_group,claim_type,claim_status,land_area,pond_count,homestead_area,vegetation_index,soil_index,water_index,forest_cover_pct,dist_to_road_km,has_pm_kisan,has_jal_jeevan,has_mgnrega
1,Holder_1,Tripura,Dhalai,Ambassa,Reang,IFR,Approved,5.173316228371728,3,0.14535483822102901,0.7597837271425546,0.5942361073562269,0.4156699464174016,55.93022642932095,3.5153649895959966,0,1,1
2,Holder_2,Tripura,Gomati,Udaipur,Jamatia,CFR,Approved,5.941338842502535,3,0.388246516265486,0.40548225595744974,0.6369023450440627,0.5508161170277437,71.7298360574478,2.763333105846645,0,0,1
3,Holder_3,Tripura,Sepahijala,Sonamura,Jamatia,IFR,Approved,2.764203500965971,1,0.30012206254180596,0.4080531737867043,0.7748936433186422,0.6151673664119635,43.969650197713875,2.0199721471037284,0,1,0
4,Holder_4,Tripura,Dhalai,Kamalpur,Tripuri,CR,Approved,8.042573304798111,0,0.4576398144424637,0.6630658583341966,0.6766180277411367,0.4248475991827984,47.942334156804144,1.833319914723348,1,0,1
5,Holder_5,Tripura,Gomati,Amarpur,Jamatia,CR,Approved,5.121586274458018,3,0.4679483736522171,0.5792245101770911,0.687966424722695,0.5069270132678545,74.33267939200698,3.1799966373161257,1,0,1
6,Holder_6,Tripura,Dhalai,Ambassa,Reang,IFR,Approved,3.673432709989616,2,0.12206263624071419,0.7337264036642716,0.5348180181658468,0.498506297317574,72.99366803482702,4.4767777982924715,0,0,0
7,Holder_7,Tripura,Sepahijala,Bishalgarh,Jamatia,CFR,Pending,1.5147994331579109,2,0.42825662414179155,,0.5333652729940804,0.5681677749152872,41.37126113583014,2.5816444452853533,1,0,1
8,Holder_8,Tripura,West Tripura,Mohanpur,Tripuri,CR,Approved,2.769029023834266,2,0.11507895616906826,0.6365791633673592,0.4379187199331878,0.3623444135591096,29.208884214497722,4.158671187569216,0,1,0
9,Holder_9,Tripura,Dhalai,Ambassa,Jamatia,CR,Approved,9.518171131681845,2,0.24686785027800906,0.7121222849536164,0.6859865731431692,0.30838310868394486,37.52193041949849,2.130350632851044,1,0,1
10,Holder_10,Tripura,Sepahijala,Sonamura,Jamatia,CFR,Approved,3.3984470247855025,3,0.31691999024843165,0.4924724212178291,0.7406146714351727,0.7630296910285248,37.14350299708248,0.6914934214072475,1,0,1
11,Holder_11,Tripura,Sepahijala,Sonamura,Tripuri,CFR,Approved,2.1041632489868354,1,0.159240319450851,0.4355204371789768,0.7553143261680033,0.5331895210865621,30.080681248795578,0.49522753500146505,0,0,0
12,Holder_12,Tripura,Dhalai,Kamalpur,Tripuri,IFR,Approved,4.876391520722436,1,0.3985255250276307,0.7539356875203556,0.4818721655829956,0.37945745811207343,28.80057230330766,0.44640498235365234,0,0,0
13,Holder_13,Tripura,Gomati,Amarpur,Reang,CFR,Pending,3.4173335619223626,2,0.10334188166885544,0.7493238414448884,0.5299834854697547,0.4073128488081603,70.27440555358035,2.0247206813968157,1,1,1
14,Holder_14,Tripura,Gomati,Udaipur,Jamatia,CFR,Approved,0.8340128775763445,1,0.16743961937361473,0.5527883989375733,0.6300091341365186,0.5923442898655892,14.890334447926318,1.8187412040120419,1,0,0
15,Holder_15,Tripura,Dhalai,Kamalpur,Reang,CFR,Approved,3.569879564154464,2,0.3323187319413903,0.70818453334013,0.585681110836899,0.35035981178139053,57.43278274697159,3.646097713388334,1,0,0
16,Holder_16,Tripura,Dhalai,Kamalpur,Jamatia,IFR,Approved,5.669031927424951,2,0.38575502481491697,0.6037087980511758,0.4953994292003564,0.48169011226672565,22.09740360195166,3.765543207607356,1,1,1
17,Holder_17,Tripura,West Tripura,Mohanpur,Jamatia,IFR,Approved,5.741267534189686,0,0.46665724107756645,0.5750175384298362,0.50021285419091,0.3924011607288265,34.115412537584426,0.4440990504019512,0,0,0
18,Holder_18,Tripura,Gomati,Karbook,Reang,CR,Approved,3.8873097511804424,3,0.38219866077384956,0.8368208349029538,0.48067028062321604,0.3965574580041993,14.30801238943858,1.2613916618672718,1,1,0
19,Holder_19,Tripura,Gomati,Amarpur,Jamatia,IFR,Approved,4.749376184399706,3,0.3687117081019464,0.6764721697211166,0.6222908470869295,0.3545275459552101,28.898154579882345,1.5164568807627186,0,0,1
20,Holder_20,Tripura,West Tripura,Jirania,Jamatia,CR,Approved,9.672420223230281,2,0.2577364585402657,0.5680309772360379,0.5330295706209032,0.3412832958973022,63.78947497820695,2.8285375238854855,1,0,1
21,Holder_21,Tripura,Dhalai,Kamalpur,Jamatia,CFR,Approved,4.0848105336879605,3,0.10051377021072057,0.7089952471630677,,0.44144772686267975,71.9510727183081,0.8936730747533612,0,1,1
22,Holder_22,Tripura,Gomati,Karbook,Tripuri,CR,Approved,2.9531547259698385,1,0.1480637034942488,0.6381347607285653,0.5652576720333626,0.401678761595714,25.506900633165692,0.8429178531200017,0,1,1
23,Holder_23,Tripura,West Tripura,Jirania,Reang,CR,Approved,2.8129369186342212,2,0.3138218179024157,0.4560326678255965,0.4841110589061807,0.4335917536922537,42.44834874812453,4.730186668198199,0,0,0
24,Holder_24,Tripura,Gomati,Amarpur,Tripuri,CFR,Approved,4.848763820689275,0,0.37005195433776794,0.7813921282266941,0.5901678742808264,0.37830951146018876,42.92268335560445,4.060173955029349,0,0,0
25,Holder_25,Tripura,West Tripura,Agartala,Reang,CR,Approved,7.715441412810969,1,0.266979313558585,0.4462102997405837,0.37583471296689014,0.12493253624065337,71.15027140318139,1.0671435300376175,0,0,0
26,Holder_26,Tripura,Sepahijala,Bishalgarh,Reang,IFR,Approved,2.4568877497904955,0,0.39227160461135613,0.6762525647852117,0.617474090515532,0.45565141713782165,63.395933701306376,2.1515254779463566,1,0,1
27,Holder_27,Tripura,Gomati,Karbook,Jamatia,IFR,Approved,7.2383132078372965,0,0.3087449181328715,0.7478188589362322,0.529800540774026,0.26369040970550783,45.91540528576349,1.9069855964363145,1,1,1
28,Holder_28,Tripura,Dhalai,Manu,Reang,IFR,Approved,0.7009233218194547,3,0.1296704782377249,0.6837993104114752,0.6605706897196022,0.2509264046009206,56.952304033024134,3.996819555513955,0,0,1
29,Holder_29,Tripura,West Tripura,Agartala,Tripuri,IFR,Approved,4.479863290847487,3,0.17680650038717954,0.28337479292278606,0.3097253040386415,0.20747912058758455,69.31485377365567,2.649021999094986,1,0,1
30,Holder_30,Tripura,Sepahijala,Sonamura,Tripuri,CR,Approved,7.870718119426475,2,0.43599928929757714,0.5799639041031901,0.6365864985914904,0.6040859605688683,10.667726781788145,0.8136787375686416,1,1,1
31,Holder_31,Tripura,Sepahijala,Sonamura,Tripuri,CR,Approved,3.7179630798570984,3,0.3899650986497758,0.534375312027437,0.6630544852224518,0.5673814468819947,38.2023021735034,3.7471619031499706,0,0,0
32,Holder_32,Tripura,Sepahijala,Bishalgarh,Reang,CFR,Approved,5.855502463731295,0,0.457904794804998,0.535731854839808,0.43521425509495,0.35291609595186696,73.5070217093955,2.1050622954796108,0,0,0
33,Holder_33,Tripura,West Tripura,Mohanpur,Tripuri,CR,Approved,2.4473027118461523,0,0.14702289964837464,0.549510331821844,0.504731362376137,0.48296918021362,61.8219121590766,1.4620363886343057,1,1,0
34,Holder_34,Tripura,Dhalai,Ambassa,Reang,CR,Approved,7.548956215698637,1,0.49608901384602955,0.7405984747791583,0.6451470875695109,0.4580660719798826,47.99889620338522,2.002393385699457,1,1,0
35,Holder_35,Tripura,Gomati,Udaipur,Tripuri,CR,Approved,0.9966514810532163,0,0.18376268557997344,0.30458305980591677,0.6158843430041776,0.45341079006092544,47.07511689245934,2.5892315053131028,0,0,1
36,Holder_36,Tripura,Dhalai,Manu,Tripuri,CFR,Approved,8.599155126317253,2,0.10471195051465682,0.8402675793673637,0.5297325455506225,0.33292482474540475,34.343906832310644,1.8469544788016452,1,0,0
37,Holder_37,Tripura,West Tripura,Mohanpur,Reang,IFR,Approved,2.382865671005847,2,0.49896917562142173,0.42560490042359317,0.6492185629614868,0.4004390020662485,46.43643735490602,1.3611477084404375,0,0,1
38,Holder_38,Tripura,Gomati,Amarpur,Tripuri,CR,Approved,8.806781301229142,3,0.21242955417804527,0.698846254330011,,0.5374901175997944,55.876823962441726,2.112809738259106,0,0,1
